Number,Category,Status,Model,Price,Form Statement,Core Reasoning,Admission Test,Failure Modes,Key Disqualifiers,Permanence Mechanism,Confidence,Last Reviewed,Notes,Core_Reasoning,Key_Disqualifiers
54,Umbrella,DECLARED,GustBuster Classic Umbrella,$40-50,,"Davek Solo: Fiberglass frame, Teflon-coated fabric, lifetime guarantee (company replaces if breaks), made in China. Warranty-based permanence (like Darn Tough socks) not rebuild-based-depends on company survival. Gustbuster Classic: Double-canopy design (wind passes through), fiberglass ribs, lifetime warranty, better wind resistance than cheap umbrellas. Both 5-10 years before failure typical. NEAR-EMPTY: Even premium umbrellas ($100-150) fail through wind stress, rib fatigue, fabric tears, mechanism jams within 5-10 years maximum. Repair not economical. Category struggles with inherent challenges: wind gusts create massive force on canopy, repeated flexing fatigues ribs, compact folding adds mechanical complexity.",,,"Most umbrellas ($15-100) fail 1-5 years: ribs bend in wind permanently (cheap metal/fiberglass), fabric tears at seams or stress points, mechanisms jam or break (shaft connectors, sliding runners), handles separate from shaft. Blunt ($99-119) rounded edges (Blunt tips) distribute wind force, patented canopy tensioning, 2-year warranty-better wind resistance but still fails 3-7 years. Rational alternative: Accept umbrellas consumable and buy cheap manual stick umbrella $15-25, replace every 3-5 years guilt-free. Even best options are warranty-dependent not rebuildable. Wind stress + mechanical complexity defeat even premium engineering. This is different category from tools-more like toothbrush (fundamentally consumable) but without 3-month replacement cycle.",WARRANTY,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,Best approximation of permanence via a wind-resistant double-canopy design and lifetime warranty. Umbrellas remain inherently failure-prone; warranty is the only practical recovery path.,Most umbrellas fail 1–5 years; even premium models are borderline-EMPTY due to wind stress and mechanical fatigue.
55,Ladder,DECLARED,"Werner 6 ft Fiberglass Step Ladder (Type IA, 300 lb)",$150-200,,"Fiberglass rails (non-conductive safe near electrical, doesn't corrode like aluminum, UV-resistant), aluminum steps (slip-resistant tread), steel hardware (bolted not riveted), Type IA rating (300 lb capacity-heavy duty, higher ratings use heavier materials lasting longer even under lighter loads). Made in USA. Replaceable feet ($10-20), rope on extension ladders ($15-25). 20-30 years light use (homeowner, indoor storage), 10-15 years heavy use (contractor, outdoor storage). UV exposure main degradation-fiberglass can delaminate 15-20 years but replaceable parts extend life. Store out of direct sun. Extension ladder: same construction, rope and pulley system (rope replaceable), external guide brackets wear-resistant.",,,"Aluminum ladders ($100-150 for 6 ft step) lighter (easier to move) but conductive (electrical hazard), corrode in salt/moisture environments, dent and deform under stress, cheaper but shorter lifespan (10-15 years typical). Wood (vintage 1950s-70s) heavy (oak, ash), require maintenance (joints loosen, wood can crack), rot risk if stored wet-beautiful but maintenance-intensive, obsolete for professional use. Little Giant articulating ladders ($200-400) complex hinge mechanisms (failure points), heavy (35-50 lbs for models replacing 6 ft step), more versatile but less durable than dedicated ladders-hinges and locks wear out. Type III (200 lb) too light for longevity. Spreaders on step ladders can bend/crack but replaceable from Werner. Bolts and rivets loosen but tightenable/replaceable.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,Form narrowed to a household A-frame step ladder. Fiberglass rails are non-conductive and durable; Type IA rating uses heavier materials; replaceable feet and serviceable hardware support long life with inspections.,Articulating ladders add hinge/lock complexity; aluminum conducts electricity; lighter-duty ratings use thinner materials and fail sooner.
56,Wheelbarrow,DECLARED,Jackson M6T22 (or Ames equivalent) 6 cu ft steel,$120-150,,"Steel tub (16-gauge seamless, rust-prone but weldable-can be patched/welded if cracked/punctured, dents rather than cracks), hardwood handles (ash/hickory, replaceable $30-50 per pair or DIY from lumber), 16 in pneumatic tire (air-filled, replaceable inner tube $8-12 or full tire/tube assembly $25-40), bolt-together construction (rebuildable), made in USA (Ames, IA-Jackson bought by Ames). Requires rust prevention: keep tub painted or oiled once every 2-3 years. 20-30+ years with maintenance. Store under cover to extend life (or accept faster rust from weather exposure). 6 cu ft optimal balance capacity vs manageability.",,,"Poly tub wheelbarrows ($80-120) HDPE/polypropylene rust-proof (major advantage) and lighter BUT cracks under impact or UV exposure 5-15 years, not repairable when cracked-poly is lower maintenance (no rust) but finite lifespan (plastic degrades). Steel requires maintenance but indefinite with care. Handles rot or crack 10-20 years but replaceable. Pneumatic tire flats (patch or replace tube $8-12). Rust inevitable on steel-small holes patchable/weldable, complete rust-through takes 15-25 years depending on storage/maintenance. Bent axle can be straightened or replaced ($15-25). Broken welds re-weldable with skills/equipment. Two-wheel models more stable on slopes but more complex, heavier, harder to maneuver. 10+ cu ft capacity too large/heavy when loaded.",REPAIRABLE,4.0,2026-01-16,,,
57,Wallet,DECLARED,Saddleback Leather Bifold Wallet,$42-58,,"Saddleback: Full-grain leather (4-5 oz thickness top layer of hide-strongest), pigskin lining (durable, thin), 100-year warranty, saddle-stitched with waxed thread, simple 4-card + 2-currency pocket design, made in Mexico. 15-25 years before major repair needed. Stitching eventually breaks (re-stitchable by leather worker $20-40 or DIY), leather stretches at card pockets (normal break-in but excessive means too thin), corner wear at high-friction areas (patchable but aesthetic compromise). Machine Era: Machined metal (brass or titanium), elastic band holds cards, no leather to break down, minimal (5-8 cards + cash), CNC-machined in USA. Indefinite base, elastic band consumable (replace every 2-5 years, $8-12). Metal heavy in pocket, cards can slip if band fails. Alternative: Vintage Coach bifold (1980s-90s USA-made, $30-80 used) often excellent condition, quality exceeds current Coach production.",,,"Bonded leather (most mall wallets $20-40, marketed as genuine leather) is leather scraps + polyurethane binder-peels and cracks 2-5 years. Top-grain leather (sanded/buffed surface, coated with polyurethane/pigment) coating eventually cracks/peels-still decent but not as durable as full-grain. Thin leather (<3mm) stretches permanently at card pockets. Complex mechanisms (money clips, RFID-blocking tech) add failure points. Fashion brands (Gucci, Ferragamo $400-800) similar or thinner leather with brand markup. Full-grain develops patina rather than degrading.",WARRANTY,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,"Full-grain leather, simple bifold construction, long-wearing materials; stitch repairs are possible and patina improves with age. 100-year warranty adds an additional recovery path.",Bonded/genuine-leather wallets peel and crack quickly; metal wallets are a different Form (material/aesthetic and elastic consumables).
58,Briefcase,DECLARED,Filson Original Briefcase,$295-325,,"Filson: 22 oz Rugged Twill (waxed cotton canvas-very thick, abrasion-resistant, develops patina), bridle leather reinforcements and handles, brass hardware, no laptop sleeve (add separate or accept), made in USA, lifetime repair service, water-resistant (not waterproof). Wax treatment renewable with Filson wax or Otter Wax ($15-25 for tin) every 2-3 years. 20-30+ years with re-waxing and repairs. Tom Bihn: 1050D ballistic nylon (lighter than canvas/leather, water-resistant, abrasion-resistant, modern aesthetic), adjustable dividers, dedicated laptop compartment, multiple organizational pockets, lifetime repair service, made in Seattle. 15-25 years. Less patina appeal than Filson but more organizational features (potential complexity/failure in dividers).",,,"Thin nylon abrades through. Weak handles tear at mounting points (re-stitchable $40-80). Cheap zippers fail (YKK #8-10 replaceable by repair shop $60-100). Foam laptop sleeves compress permanently. High-end leather briefcases ($500-2K Saddleback, Colonel Littleton) beautiful and develop patina but heavy (6-10 lbs empty), expensive, not significantly more durable than Filson canvas-leather is aesthetic choice not functional necessity. Vintage Hartmann luggage briefcase (1970s-80s, $50-150 used) ballistic nylon over aluminum frame, hard-sided (bombproof protection), combination locks (can fail, replaceable but requires disassembly), heavy (8-12 lbs), dated 1980s businessman aesthetic. Canvas can tear at stress points but patchable. Hardware (buckles, D-rings) can fail but replaceable.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared.,22-oz waxed canvas with bridle leather reinforcements and brass hardware. Water resistance is renewable via re-waxing; zippers/handles are repairable; supported by a repair service.,"Thin nylon abrades and zippers fail early; complex organizer bags add more seams, foam, and failure points."
59,Hat,DECLARED,Tilley T5 Cotton Duck Hat,$80-95,,"Tilley T5: 100% cotton canvas, 3 in brim UPF 50+ sun protection, hidden pocket in crown, lifetime guarantee (replace if wears out-company commitment not rebuilding), made in Canada, floats in water, ties under chin. 15-25 years outdoor use. Minus33: 100% merino wool (no synthetic), natural warmth/moisture management, made in USA, 10-20 years with care (hand wash, lay flat). Stetson: 6X quality beaver fur felt, leather sweatband (replaceable), 3 in brim, made in USA, can be re-shaped/re-steamed by hatter, professional cleaning/shaping available, 20-30+ years. Vintage Stetson (1940s-60s, $100-300) often higher quality. Ebbets: 100% wool fabric (no foam, no mesh), unstructured or structured crown, leather or fabric strap, made in USA, vintage 1940s-50s styling, 10-20 years. Modern athletic caps EMPTY (foam fronts degrade/yellow/lose shape 3-7 years).",,,"Cheap felt hats lose shape quickly. Synthetic fabrics pill or degrade. Fashion hats prioritize appearance over durability. Baseball caps with foam front panels (most modern Nike, Under Armour $25-35) degrade, yellow, lose shape 3-7 years-foam is countdown timer, plastic snapback adjusters crack. Even premium gel/gel refillable gel pens use proprietary refills cost nearly as much as new pens. Carhartt Acrylic Watch Hat A18 ($15-18) value alternative for cold weather-acrylic knit, 5-10 years typical, cheap enough not to worry about losing.",WARRANTY,2.0,2026-01-16,"Multiple products listed; category must be split or a single default declared. Split suggested: Sun Hat, Cold Weather Beanie, Dress Felt Hat, Casual Ball Cap.","Form narrowed to sun hat: wide brim, durable cotton duck, long lifespan plus lifetime guarantee. Breathable, abrasion-resistant, and designed for outdoor use for decades.",Beanies/fedoras/baseball caps are different Forms; cheap sun hats use thin fabric and fail sooner without a lifetime guarantee.
60,Gloves,DECLARED,Dachstein 4-Ply Boiled Wool Mittens,$60-75,,"Dachstein: 100% boiled wool (Austrian), 4-ply thickness, lanolin-rich (naturally water-repellent, can be re-lanolized if diminishes), traditional construction. 15-20 years with proper care (hand wash, lay flat). Mittens warmer than gloves (fingers share warmth). Chester Jefferies: English leather (capeskin or deerskin), cashmere lining, made in UK since 1765, hand-sewn construction. 10-20 years with care. Can be resoled/relined by glove specialists (rare, expensive $40-60). Wells Lamont: Grain cowhide leather work gloves, keystone thumb (ergonomic), elastic wrist, made in USA options available. SEMI-CONSUMABLE: 1-3 years heavy use. At $12-20/pair, replacement every 1-3 years rational. Work gloves inherently consumable-leather wears through at stress points. Even premium leather work gloves ($50+) wear through with daily use (2-3 years)-not economical vs $15 replacement.",,,"Thin leather tears easily. Synthetic insulation (Primaloft, Thinsulate) compresses permanently over years. Coated gloves (nitrile, latex, PU) coating degrades in weeks to months-disposable by design, fine for light tasks not durable. Fashion gloves prioritize appearance. Heavy-duty welding gloves (Tillman 1418 cowhide drivers $15-20) last 6-12 months heavy use. Work gloves are consumable like drill bits-even quality ones wear through with use. Question is cost vs lifespan: $15 gloves lasting 1 year more rational than $50 gloves lasting 2 years. Cold weather and dress gloves can be long-lasting with care, but work gloves must be accepted as semi-consumable tools.",REPAIRABLE,2.0,2026-01-16,"Multiple products listed; category must be split or a single default declared. Split suggested: Cold Weather Mittens, Dress Gloves, Work Gloves (consumable).","Form narrowed to cold-weather hand protection prioritizing warmth and longevity. Boiled/felted wool is durable, wind-resistant, and insulates when damp; with proper care these can last decades.",Work gloves are inherently consumable; synthetic insulated gloves compress and lose warmth over time; dress gloves are a different Form.
61,Toothbrush,CONSUMABLE,Oral-B Indicator Soft (manual),$2-3,,"FUNDAMENTALLY CONSUMABLE like pen refills or razor blades. ADA recommends replacement every 3-4 months as bristles wear out (splay, lose stiffness, become less effective). Manual: Soft bristles (ADA recommended-hard/medium damage enamel), indicator bristles fade when replacement needed, simple plastic handle, 3-4 months lifespan. $80-120 total cost per decade (quarterly replacement). Electric: Oscillating-rotating head, 2-minute timer, replaceable brush heads ($5-8 each quarterly), rechargeable NiMH battery degrades 3-5 years, motor lifespan 3-7 years. Base replacement $40-50 every 3-7 years. $280-370 total per decade. Electric more effective cleaning (clinical studies show better plaque removal) but 2-3x cost. Premium manual brushes ($5-8) aren't functionally better-bristles still wear 3-4 months. This is consumption category, not rebuildable. Best option still designed for replacement. No recovery path.",,,"Even best option disposable every 3-4 months. Electric bases have rechargeable batteries (NiMH, 3-5 years) and motors (3-7 years) that fail-when base fails, replacement $40-50. Brush heads consumable for both manual and electric. Bristles inherently wear from mechanical use-this is by design (worn bristles less effective at cleaning). Cannot declare toothbrush Platonic when it's consumable by nature, but can identify best value/performance within consumable category. This is like food storage lids (consumable component) but toothbrush is entirely consumable not just one component.",REPAIRABLE,2.0,2026-01-16,Multiple products listed; category must be split or a single default declared. Split suggested: Manual Toothbrush vs Electric Toothbrush base.,"Toothbrushes are fundamentally consumable: bristles deform and must be replaced every 3–4 months. This is material wear, not engineered obsolescence; best choice is simple, widely available soft-bristle brush.",Electric brushes clean well but add battery/motor failure modes and higher lifecycle cost; premium manual brushes do not extend bristle lifespan.
62,Razor,DECLARED,Merkur 34C Heavy Duty safety razor (DE - double-edge),$40-45,,"Chrome-plated brass head, zinc-alloy handle, two-piece design (handle unscrews from head), accepts standard DE blades (universal fit), made in Germany since 1896. Indefinite lifespan-no moving parts beyond screw threads. DE blades $0.10-0.30 each (Feather $0.30, Astra $0.10, Derby $0.12), bulk packs of 100 = $10-30. One blade lasts 3-7 shaves. Annual cost $15-30 for daily shaving. 10-year cost: $45 razor + $15-30/year x 10 = $195-345 vs cartridge (Gillette Fusion/Mach 3) $10 handle + $100-200/year x 10 = $1,010-2,010. Alternative: Edwin Jagger DE89 ($30-35) similar quality, slightly less expensive. BUT requires technique-learning curve 2-4 weeks, improper angle causes nicks, not as convenient as cartridge.",,,"Cartridge razors (Gillette Fusion, Mach 3) plastic handle $10-15, replacement cartridges $3-5 each lasting 5-10 shaves-pure consumption with no recovery path, designed around consumable blade monopoly (like printer ink). Annual cost $100-200 daily shaving. Electric razors (Braun, Philips $80-300) replacement foil/cutters $50-80 every 18-24 months, battery degradation 3-5 years, motor failure 5-10 years, not closer shave than blade. Straight razors (Dovo Solingen $100-200) indefinite blade life BUT steep learning curve (high injury risk while learning), requires daily stropping (5-10 min) with leather strop ($30-50), periodic honing/sharpening every 3-6 months (Arkansas stone $20-40 or professional service $15-25), time-intensive (15-25 min per shave vs 5-10 for safety)-hobbyist tool not practical for most users.",REPAIRABLE,4.0,2026-01-16,,,
63,Hair Dryer,EMPTY,,,,"All hair dryers fail through heating element (nichrome wire oxidizes with thermal cycling) or motor (2-15 years). Consumer models ($30-80 with DC motors) last 2-5 years. Professional AC motors (Elchim 3900 $200-230, Harry Josh Pro 2000 $300-350) last longer (5-15 years) but still sealed and non-serviceable. When heating element burns out or motor fails, replacement parts $50-100+ (if available) plus labor. For $300 dryer, $150 repair might be rational; for $80 dryer it's not. Even 15-year lifespan is designed obsolescence-heating element is countdown timer. Switches, thermal controls, power cords (constant flexing breaks conductors) all fail over time.",,,"Heating elements: Nichrome wire coils degrade with thermal cycling, eventually burn out or break, not user-replaceable in sealed units. Motors: Even AC motors (brushless, longer-life Italian) eventually fail (bearings wear, windings burn out), not user-serviceable. Ionic generators fail. Complex electronic controls add failure points. Power cord flexing breaks internal conductors (replaceable in theory but requires disassembly and electrical skill). Category needs: user-replaceable heating elements (<$30), user-replaceable motors (<$50), modular construction, published service manuals, 20-year parts guarantee. None exists. Some users buy cheap dryers ($30-50) and replace every 3-5 years-more honest than $300 dryers failing in 10-15 years.",,4.0,2026-01-16,,,
64,Desktop Computer,CONDITIONAL,Custom ATX Desktop (standard components) + Linux,"$940-1,850",,"Maximally repairable within PC category. Standard ATX case (Fractal Define 7 $150), standard ATX motherboard ($150-250), socketed CPU ($200-400), standard DDR4/DDR5 RAM DIMMs ($80-150), M.2 NVMe or SATA SSD ($80-150), modular ATX PSU ($80-150), discrete GPU PCIe ($200-600+). All components individually replaceable. Install LINUX for extended software support (Windows forces obsolescence-Win10 support ends Oct 2025, Win11 TPM 2.0 requirement excludes pre-2018 hardware). Replace PSU/storage/fans every 5-10 years ($100-200). Motherboard failure (10-20 years, capacitors age) triggers major rebuild (often need new CPU for socket change, new RAM for DDR standard change)-is this rebuilding or replacing? 10-15+ years achievable but NOT indefinite. Budget $200-400 every 5-10 years for component refreshes.",,,"Pre-built desktops (Dell, HP) use proprietary motherboard form factors, proprietary PSUs, planned obsolescence, 3-7 years typical. All-in-ones (iMac, Surface Studio) non-upgradeable, sealed construction, 5-8 years. Software support windows force obsolescence: Windows 10 ends 2025, each version ~10 years support. Linux (LTS releases 5+ years, lightweight distros run on old hardware) extends life 5-10 years beyond Windows. Motherboard failure the ultimate limit-when it fails (capacitors, chipset, BIOS chip), replacement $150-250 often requires new CPU (socket changed) + new RAM (DDR standard changed) = rebuilding 60-80% of computer. Not truly indefinite. GPU prices market-manipulated. Custom ATX maximally repairable but still has planned obsolescence horizon.",REPAIRABLE,2.0,2026-01-16,"Define the Form tighter (e.g., Repairable Desktop PC) or mark as CANDIDATE.","Maximally rebuildable computing Form: standardized ATX parts (PSU, case, GPU, RAM, storage) enable component-level replacement. Linux extends useful life beyond forced Windows obsolescence. Realistic horizon is ~10–15 years with periodic part refreshes.",Motherboard/CPU/RAM platform shifts force major rebuild every ~10–15 years; requires technical competence and willingness to run Linux.
65,Task Chair (New),CANDIDATE,,,"A new task chair that supports neutral posture for long desk work using components designed for replacement (arms, casters, cylinder, seat, back), with a parts ecosystem expected to last 15+ years.",,,,,,,2026-01-16,Child of Task Chair. Do not declare until model stability + parts availability verified.,,
66,Task Chair (Used),CANDIDATE,,,"A used-market task chair whose durability is proven by decades of institutional use and whose wear parts are replaceable, making refurbishment economically rational versus new.",,,,,,,2026-01-16,Child of Task Chair. May allow “Aeron Classic remastered” decisions later; requires sourcing rules.,,
67,Food Storage Container (Glass + Lid),CANDIDATE,,,"A food storage system where the container does not absorb odors/stains and the closure is replaceable, so the system remains usable for 10+ years.",,,,,,,2026-01-16,Child of Food Storage Container. Need to define lid replacement/availability standard.,,
68,Food Storage Container (Dry Goods),CANDIDATE,,,"A dry-goods storage container that keeps contents airtight via a simple, replaceable seal mechanism, remaining functional for years without lid warping or latch failure.",,,,,,,2026-01-16,Child of Food Storage Container. Different Form than fridge/freezer storage; focuses on airtight pantry storage.,,
